overall,reviewText,summary
1,Graphic was not centered and the print on the shirt looked cheap. Ordered a large and it was giant. Regret buying it.,dont bother
1,And color fade super fast,One Star
1,It's just to small. It supposed to fit a baby from 3 to 6 months old but doesn't even fit a 3 month old,It's just to small.
1,Thought this was going to get a regulation medal and presentation case just like the one that I was awarded before my house caught on fire but it's not even close this medal is a safety pin style not a double nail back like the regulation and the presentation case is the wrong style and it is a cheap copy. Not happy about it Now I'm going to have to find another one from a different seller and try to return this.,... to get a regulation medal and presentation case just like the one that I was awarded before my house ...
1,"i had to send it back, way too small",One Star
1,Didn't own them a season before they tore at the sole and heel making them useless.,Easily tore
1,"Don't buy it.  The tie unraveled (broke) after just 1 month and my wife only wore it once.  It's not good quality, even for $7.99.",it breaks too easy
1,"Ridiculous fit. Huge arms, sleeves and overall body. Made for a short bodybuilder. My son was so upset. He is an average 11 year old.","Ridiculous fit. Huge arms, sleeves and overall body ..."
1,"I hate this bag!!!  Not only does it still stink even months later, but the zipper just broke today didn't even last three months.",Horrible don't buy!
1,Luckily it was for a 10 yr. old girl because the shirt I got for her 14 yr. old sister was too small...,this runs small
1,,One Star
1,"The product is way to thin. So thin as a matter of fact, I am having to send it back due to the fact that about 1/2 the length of one sleeves is not even connected. not a good product.",not a good product.
1,I ordered this style. I received a drug advertisement instead. Even with packaging stating otherwise.,you won't get this shirt
1,It is not an original shirt and very bad heat are scammers is a cheap copy made in china that disgust,It is not an original shirt and very bad heat are scammers is a cheap copy made in ...
1,Strap is not adjustable and is way too short. Bag itself looks much smaller in person compared to the online pics. Zipper was also very stiff. Had to return it. Disappointed.,Disappointed.
1,Really disappointed...they were not true to size.,One Star
1,Poor quality,Poor quality
1,Very disappointed in quality .,One Star
1,"Having ordered clothing items from China before, I added an additional size to the recommendation but the item was made all wrong! The sleeves are way too short, and it does not fit as pictured. Instead of the front piece draping across the shoulder to the waist, it snaps only behind the neck and causing the sides to split right below my bust.

When I contacted the seller (ACEFAST INC), they refused to even acknowledge the fit issue and actively discouraged me from returning the item--even though they were completely at fault as they are propagating an incorrect representation of the fit. My recommendation is to steer clear of this piece--unless you want to modify it with buttons along the front--or buy from another seller. But please, to save yourself the money, do not buy from ACEFAST INC as a third party seller at all.","Not as Pictured, Seller Unhelpful"
1,Too weird for me.  I donated it.,I thought this was a good deal.  NOT
1,"This is a Joke, but a box of Cracker jacks",One Star
1,Ordered materiel for Christmas gift arrived on January.... Very Disappointed on my purchased..,Very Disappointed on my purchased
1,Shouldn't even bother ordering clothing that is manufactured in China. I'm a size small in the US. I know clothing from China is much smaller so I ordered a much larger size and it still didn't fit. And the quality was terrible.,And the quality was terrible.
1,"I live in Puerto Rico and we are back to school but I ask this package or bag but asked for time to arrive days before the start of courses but is it already been a week and not get so had to buy a vulto and spending this company more money but without respect and without liability did their job and do not recommend buying this seller.
Vivo en Puerto Rico y estamos en regreso a clases pero pido este bulto o bolso pero lo ped a tiempo para que llegara das antes del comienzo de cursos pero resulta que ya a pasado una semana y no llega por lo tuve que comprar un vulto y gastar ms dinero pero esta compaa sin respeto y sin responsabilidad no hizo su trabajo y no recomiendo comprar a este vendedor.",If you want a product and pay that arrives on time !!!!  Si quieres un producto y lo pagas que llegue a tiempo!!!!
1,This necklace was missing lots of stones when I received it. Very disappointed.,Very disappointed.
1,"I ordered early November as a Xmas gift. It arrived 2 days after Christmas and not only that, but the graphic is literally so small, it just looks like a plain black shirt! Never again!",it just looks like a plain black shirt
1,Horrible product. Flimsy and just bad material. Don't waste your money.,One Star
1,The shoes are much smaller than advertised,TOO SMALL
1,I use Just once and it broke .,One Star
1,The size mentioned and the delivered product is too large.,One Star
1,Shirt on the seams ripped the same day as I got it.  It shredded so bad I don't think it cam be fixed. Very disappointed,Shirt very thin at seams
1,I didn't received what I want,One Star
1,"When I received my shirt, it didn't look at all like the image! The printing was terrible. There was almost no color and all the details were blurry and faint. The right side of the design was partially cut off. Very disappointed, already contacted seller for a refund.",it didn't look at all like the image
1,"I was fooled, because I bought the exact same jacket in another colour and the sizes was both the same. The other colour fit great but this black wwas to small. I don't know what went wrong there. I had to give away the jacket. There need to getget there sizes in order.",I was fooled!! Lowest rating!!
1,"I didn't like these at all. The small/medium was still too small on my and I usually wear a small. They were also too short. Buy mostly I didn't like them because they are french terry lined, not fleece-lined, and very scratchy. Not comfortable and looked cheap. I have other Yummie leggings and I like them but this pair just didn't measure up.",Too scratchy
1,"After having a real pair of these for a few years, I decided to buy another. I went on here and immediately I knew these were fake. Do not buy these unless you want cheap plastic and frames",Fake
1,"The watch came with a piece broken and it wasn't even working. I'm very disappointed because the only reason I bought this model was because it had good reviews and was given almost a perfect score. I didn't even open the package in time because I figured nothing could go wrong with it, and now I'm told I can't return cos it's passed the return date.",Thewatch came with a piece broken and it wasn't even ...
1,"I received an empty case of Ray Ban, no sunglasses inside!!!! I wonder if anyone has experienced this before....","Received empty case, sunglasses stolen!"
1,I like the look but they became difficult to fasten.,One Star
1,Disappointed with poor fit,One Star
1,fits like a wide waist long sleeve t shirt - :(,very light weight material
1,another lost  of money,hate it
1,One pair of the pants were stretched out.,One Star
1,"The quality of the fur was good, the boot itself was to wide/big for my ankle/leg.",One Star
1,Size doesn't match real 9.5 foot-other wise nice design & construction,5 foot-other wise nice design &
1,Material is awful.,One Star
1,"I've wore this ring for a year June 20th, 2016, while at work today it cracked and a chunk fell out of it. This is the band I got married in last year. Very disappointed it broke.",Disappointed
1,Poor quality,One Star
1,"Returned bag, they're defective!  I would give zero stars if I could.  Espresso is misspelled, espesso. When I notified the seller the manufacturer said it was Portuguese for dense roast.  Unfortunately for them, I am good friends with a native speaker of the language and there's no such thing!  It does not exist!  Not only are they selling defective goods for full price but they are covering it up!  Won't buy Mona B. Not impressed with that service.  Seller was very cooperative with late return.",Won't buy Mona B
1,Way too small,One Star
1,Must have been misnamed. They were at least 2 Sizes too big and an odd muddy color,One Star
1,it fell apart,One Star
1,Gold color faded.,One Star
1,FAKE DO NOT BUY,Fake
1,They looked scuffed up and have a nail sticking out of the suede just below where your heel is (in part of the heel). This is when I opened them. Never worn and they are so cute!!! But I am planning to return them because of that unfortunately.,They looked scuffed up and have a nail sticking out ...
1,Horrible! Avoid at all costs!,Horrible!
1,"used product, without tag, warranty card.",One Star
1,I didn't know they were selling one pair of cheap socks for around 10 dollars,One Star
1,No sirvi..dejo de funcionar enseguida,One Star
1,Too small and thin,One Star
1,"Starts peeling at once! Cheapest hunk of junk wallet I've ever bought. Cute when it came, but started disintegrating within dsys.",JUNK!!!
1,"I must preface my comments with this disclaimer: I am picky about shoes - I like comfort + quality + style - the total package. I was extremely disappointed with this boot. First of all it looks very cheap and ""old-lady"" on the foot - it seriously looks like a $30 pair of boots. Secondly - the sole is made of hard plastic - not comfortable AND slippery. Toe box was a bit constricting for my taste. The leather was nice though - really the only nice thing I can say. I thought the fit was accurate - I'm a solid 8 1/2 - ordered the 39 fit was good overall.",YUCK!
1,"i'm satisfied with the product my only issue is the bright green color, I expected to receive a red color like it shows on picture but I know it specifies that color varied, the customer should have the right to choose color specially between nice red and ugly bright lime green. Quality is five stars color one star",i'm satisfied with the product my only issue is the bright ...
1,Way to small,One Star
1,"This product is duplicated and it's not same what's showing, I advise anyone not to buy it.",Chatting and duplicate item
1,Couldn't even wear the scarf it came to me torn and was not worth my postage to send back,One Star
1,These were okay,One Star
1,Cute but battery dies within a week,One Star
1,Had to give them away.,One Star
1,I bough this pair of shoes they started getting wrinkles on the first day of wearing them. For $295 a shoe the quality of the leather is really really bad.,Really Bad Leather Quality.
1,Good,One Star
1,Shoes are nice but are not as apear in picture. You can clearly see the sole of the shoe is black in the picture but when they arrived they were red. Which obviously completly looks horrible withe the blue color scheme. Contacted seller and they were verry rude about it. Also the colors of the shoe are very dule compared to the picture. Would not recomend to anyone unless you don't care about getting what you paid for.,False advertising
1,This shirt was a waste of money. The logo is not as pictured. It is a TINY poorly executed reproduction. I suspect it will be gone after a few washings. I bought it for my husband and am very disappointed.,CHEAP IMITATION
1,Not a good fit. The top part is akward. I won't be wearing these. Its too bad because they are nice looking shoes,Not a good fit. The top part is akward
1,I bought these earrings for my nieces birthday and I am very upset that the earrings were no where to be found. What a birthday gift  I cannot believe I HAVE to give this a star. Ridiculous!!!,No earrings inside the box.
1,"All quiltex clothes I ordered are very small, I ordered 3-6 month, my dogther will wear it max for one month because of the small size! Waste of money...",Very small sizes
1,Watch broke 1 day after receipt.,One Star
1,super cheap. Don't buy,One Star
1,"dress does not look like picture, material is too stretchy, picture should reflect actual dress with material, this picture reflects good material, received beach wear dress with long tail","dress does not look like picture, material is too stretchy"
1,"I like the style i bough them for a gift, I didn't like the fact that it had dents in the sides and it had a defect on one side of one sandal kind of looks like a dot of glue didn't glued to the shoe, I spend $3o something and it should not have those defects, I would not buy shoes or sandals from here again.",I like the style i bough them for a gift
1,the top of the slit will not even cover your crotch!!! all my lady gems would be exposed if I dared to wear this dress!,The slit....
1,Huge.,One Star
1,these things are TINY,One Star
1,I should have known by the inexpensive price that this was a piece of plastic junk.,Fool me once....
1,Don't like it,One Star
1,too small!!3-6 M is too small for a 1.5 month old baby girl!!!,too small!! 3-6 M is too small for ...
1,way too small.,One Star
1,"Looks like the hoof of a Ardennes horse! I will never buy it, sorry!",One Star
1,Cheap...very poorly made.,
1,"Too short, wide and poorly made. Not as slim or long as photo at all.",One Star
1,very bad,One Star
1,its ok that we have to return the cloths or be out the money as long  as we are polite right amazon because we do not understand the size conversion  well post this size conversion on the website.,sizes are different
1,This jacket LITERALLY fell apart.... the orange fringe fell out during my entire day at work. It was embarrassing and something you would wear once. Despite letting it spin in the dryer.. its still shed. TOTAL RIP OFF.,THIS JACKET SHEDS WORSE THAN A GOLDEN RETRIEVER
1,The back of the rubber boot broke just 1 month of after wearing occasionally. Very disappointing. Don't waste your money like I did. They were also quite big for the size I purchased.,Rubber ripped after just a few wears
1,"today it is first time wear this clothes,  I am very anger to find it drop plenty lint,red lint, make baby all over go red! diapers are all go red,too! Clothes quality is so bad,Beyond my imagination",very bad clothes
1,Returned item. Clasp was not secure. Also bracelet was stiff and not as nice looking as the picture.,Returned Item
1,Super cheap. These are basically an adult version of toddler pants.,One Star
1,The size seems a bit tricky,One Star
1,This raincoat is not worth the cost of $10. The first time it was worn the seam that the shoulder split. They come folded in small pouches so they are very wrinkled. The raincoats did the job I ordered them for but should have only cost around $0.99,buy a poncho instead
1,"These boots were so amazing at first, I loved them more than anything. But they discolored from everything... within hours one of the tips lost color and I hadn't hit anything. The other boot got a 4 inch long scrape on it from nothing in particular. After a few weeks, a few sprays of milk flew on a boot from a spilled a coffee beverage, and cleaning it as recommended didn't help. Finally a drop of hand sanitizer bleached and ruined one boot forever. I had sprayed this boot with full leather water and stain protection but it didn't work.",Beautiful... but delicate and ruined easily
1,Wayyy too big and I ordered a size smaller because of the other reviews I read. I would advise you get two sizes smaller,Wayyy too big and I ordered a size smaller because ...
1,Low qualify and too puffy. Has been returned.,One Star
1,The items we received looks fake. It came with tags but looks like a knock-off and characters on shirt looks horrible. Does not have the same look or feel as department store disney clothing.,It came with tags but looks like a knock-off and characters on shirt looks horrible
1,Did not fit my 3 month Olds head and I find that she has a kind of small head,really small
1,"the image faded after the first wash...half of a skull, 2/3s of the bag pipes & can't even make out '' dropkick murphy's... it's like drick hey... if I was a band member i'd be pissed from hell... thinking about sending them a pick to show how they are represented...",it's like drick hey
1,Not the good too long,One Star
1,I have not been able to wear this shoe as it has a defect on the left  side of the left shoe. It has a knot on the inside of the shoe thta makes it impossible to wear.,I have not been able to wear this shoe as ...
1,allergic,One Star
1,I received 2 left shoes in 2 different sizes.,One Star
1,"Bought this when searching mens big and tall.  I bought a 2XL thinking it would be plenty big.  When I received it, it did fit, but just barely.  Once I washed it, it shrunk to maybe a boys size 14.  Company would not work with me as it was not in original packaging and didn't have tags.  I washed it, Duh.","If you are shopping for your children, this would be a good fit."
1,"In my personal opinion it was horrible. I have bought this for my son and it was too big also horrible quality and this is not expected form such a wonderful brand
The north face",In my personal opinion it was horrible. I have bought this for my son and ...
1,"Too small. Arrived crushed in the package. Very inexpensive, but even then not worth it.",One Star
